,Rank,Overall Score,Electoral Process and Pluralism,Functioning of Government,Political Participation,Political Culture,Civil Liberties
Switzerland,6,9.09,9.58,9.29,7.78,9.38,9.41
Canada,7,9.08,9.58,9.29,7.78,8.75,10
Finland,8,9.03,10,8.93,7.78,8.75,9.71
Australia,9,9.01,9.58,8.93,7.78,8.75,10
Netherlands,10,8.92,9.58,8.57,8.89,8.13,9.41
Luxembourg,11,8.88,10,9.29,6.67,8.75,9.71
Ireland,12,8.72,9.58,7.5,7.78,8.75,10
Germany,13,8.64,9.58,8.57,7.78,8.13,9.12
Austria,14,8.54,9.58,7.86,8.33,7.5,9.41
Malta,15,8.39,9.17,8.21,6.11,8.75,9.71
UK,16,8.31,9.58,7.14,6.67,8.75,9.41
Uruguay,17,8.17,10,8.93,4.44,7.5,10
Mauritius,17,8.17,9.17,8.21,5,8.75,9.71
United States,19,8.11,9.17,7.5,7.22,8.13,8.53
Japan,20,8.08,9.17,8.21,6.11,7.5,9.41
South Korea,21,8.06,9.17,7.86,7.22,7.5,8.53
Spain,22,8.05,9.58,7.14,7.22,6.88,9.41
France,23,8.04,9.58,7.14,7.78,6.88,8.82
Costa Rica,24,8.03,9.58,7.86,6.11,6.88,9.71
Czech Republic,25,7.94,9.58,7.14,6.67,6.88,9.41
Belgium,26,7.93,9.58,8.21,5.56,6.88,9.41
India,27,7.92,9.58,7.14,7.22,6.25,9.41
Botswana,28,7.87,9.17,7.14,6.11,7.5,9.41
Italy,29,7.85,9.58,6.43,7.22,7.5,8.53
South Africa,30,7.82,8.33,8.21,7.78,6.25,8.53
Cape Verde,31,7.81,9.17,7.86,6.67,6.25,9.12
Chile,32,7.8,9.58,8.93,3.89,6.88,9.71
Portugal,33,7.79,9.58,6.43,6.67,6.88,9.41
Estonia,34,7.74,9.58,7.86,5.56,6.88,8.82
Taiwan,35,7.65,9.58,7.5,6.11,5.63,9.41
Israel,36,7.63,8.75,7.14,8.89,7.5,5.88
Slovenia,37,7.57,9.58,7.14,6.67,5.63,8.82
Lithuania,38,7.54,9.58,6.07,6.11,6.25,9.71
Latvia,39,7.48,9.58,5.71,6.11,6.88,9.12
Poland,40,7.47,9.58,5.71,6.67,6.25,9.12
Greece,41,7.45,9.58,5.36,6.67,6.25,9.41
Cyprus,42,7.4,9.17,6.43,6.67,5.63,9.12
Jamaica,43,7.39,9.17,6.79,5,6.88,9.12
Brazil,44,7.38,9.58,7.5,4.44,6.25,9.12
Slovakia,45,7.35,9.58,7.5,5.56,5,9.12
Timor-Leste,46,7.24,8.67,7.14,5.56,6.88,7.94
Panama,47,7.08,9.58,6.43,5.56,5,8.82
Trinidad and Tobago,48,6.99,9.58,7.14,5,5,8.24
Indonesia,49,6.95,7.33,7.14,6.67,6.25,7.35
Croatia,50,6.93,9.17,6.07,5.56,5.63,8.24
Hungary,51,6.9,9.17,6.07,4.44,6.88,7.94
Argentina,52,6.84,8.75,5.71,5.56,6.25,7.94
Suriname,53,6.77,9.17,6.43,5,5,8.24
Philippines,53,6.77,8.33,5.36,6.67,4.38,9.12
Bulgaria,55,6.73,9.17,5.71,5.56,5,8.24
Serbia,56,6.71,9.17,5.36,6.67,5,7.35
Romania,57,6.68,9.17,5.71,5,5,8.53
Mexico,57,6.68,8.33,6.07,6.67,5,7.35
Dominican Republic,59,6.67,8.75,5.71,5,6.25,7.65
Lesotho,60,6.66,8.25,5.71,6.67,5.63,7.06
Mongolia,61,6.62,9.17,5.71,5,5,8.24
Colombia,62,6.55,9.17,7.14,3.89,3.75,8.82
Peru,63,6.54,9.17,5,5,5,8.53
El Salvador,64,6.53,9.17,6.07,3.89,5,8.53
Malaysia,65,6.49,6.92,7.86,5.56,6.25,5.88
"Hong Kong SAR, China",66,6.46,4.75,5.71,5.56,6.88,9.41
Zambia,67,6.39,7.92,5.36,4.44,6.88,7.35
Ghana,68,6.33,8.33,5.36,5.56,5.63,6.76
Moldova,69,6.32,8.75,5,5.56,4.38,7.94
Tunisia,70,6.31,7,6.07,7.22,6.25,5
Paraguay,71,6.26,8.33,5.36,5,4.38,8.24
Macedonia,72,6.25,7.75,5.36,6.11,4.38,7.65
Namibia,73,6.24,5.67,5,6.67,5.63,8.24
Senegal,74,6.15,7.92,5.71,4.44,5.63,7.06
PNG,75,6.03,6.92,6.07,3.89,5.63,7.65
Singapore,75,6.03,4.33,7.5,5,6.25,7.06
Montenegro,77,5.94,7.92,5.36,5,4.38,7.06
Guyana,78,5.91,7.92,4.64,5.56,4.38,7.06
Ecuador,79,5.87,8.25,4.64,5,4.38,7.06
Honduras,80,5.84,8.75,5.71,3.89,4.38,6.47
Georgia,81,5.82,8.67,4.64,5.56,4.38,5.88
