Country,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Albania,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Algeria,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
American Samoa,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Angola,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antarctica,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antigua and Barbuda,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Argentina,Million Kw,0.03,0.03,0.03,0.03,0.03,0.05,0.13,0.14,0.22,0.27,0.28
Armenia,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aruba,Million Kw,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Australia,Million Kw,0.74,0.82,1.25,1.44,1.70,1.86,2.13,2.56,3.22,3.80,4.23
Austria,Million Kw,0.78,0.94,0.97,0.99,0.99,0.98,1.08,1.32,1.65,2.09,2.49
Azerbaijan,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Bahamas, The",Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahrain,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barbados,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belarus,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belgium,Million Kw,0.17,0.21,0.28,0.32,0.60,0.91,1.07,1.37,1.78,1.94,2.18
Belize,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Benin,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bermuda,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bhutan,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bolivia,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Botswana,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,Million Kw,0.03,0.24,0.25,0.41,0.60,0.93,1.43,2.51,3.47,5.96,8.72
Brunei,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bulgaria,Million Kw,0.01,0.03,0.03,0.11,0.17,0.49,0.54,0.68,0.68,0.69,0.69
Burkina Faso,Million Kw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
