Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,80.26251038,88.51510832,101.4020412,123.3554062,127.4328247,55.56260811,53.99097871,52.41073252,54.62001423,56.66356846,54.73520654,56.35474939,59.10449937,48.84541409,56.93256752,55.30610326,54.10817427,53.06598038,51.91406919,51.76051053,53.13282106,52.20403991,50.73213181,49.41731995,48.14635145,50.12844051,68.32800704,72.62492939,71.53709967,75.05660874,82.43408541,85.75827128,95.4218969,87.03618776,108.6303766,143.9118833,132.6812806,171.8795813,188.9616674,206.3405781,207.0312589,219.3563555,280.402518,312.4760173,,,
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,532.0284315,568.4032016,593.4467457,591.0326434,739.3450933,908.6745473,1067.814156,1098.483166,1065.767398,1142.965355,1123.968106,1096.873229,1070.690164,1018.100288,796.3539738,1420.614795,1161.951677,1005.93953,1021.3935,552.2521848,418.453589,453.6440739,536.3638251,596.4079593,663.7839954,904.3466403,694.6648028,734.8499135,1414.703784,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503,,,
Andorra,AND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,195.1633951,209.7872975,228.9472729,253.1760379,280.4267985,323.2303955,366.835612,423.8029937,511.4144986,573.1811689,619.9539286,709.0869616,764.8015954,849.780877,876.2540944,953.0531997,990.8447316,1027.128908,1046.928821,1062.999499,1028.471449,1061.757613,1115.97993,1143.243089,1250.015137,1288.111632,1332.479941,1425.258486,1476.670543,1509.812123,1573.005077,1641.178384,1711.669345,1758.499258,1832.830332,1932.4027,1987.110982,2053.188918,2110.76123,2286.73538,2322.213342,2360.619175,2416.282624,2489.220073,,,
United Arab Emirates,ARE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,677.8858569,1307.248467,1689.435864,1860.55787,2296.490861,2790.044873,3673.222237,4107.891705,4875.845553,5626.52535,5986.26104,6969.051192,7526.375433,7758.9463,8023.423999,8094.589252,8137.921136,8334.697186,8090.348585,8355.669953,8015.122643,8150.427554,8958.029904,9275.617237,9273.445986,9394.714938,9820.333999,11133.68063,12128.52583,12232.62043,12048.59123,12401.23265,12266.92521,11902.35354,12303.14165,11823.08693,11688.32179,11613.97901,10966.43493,10968.25849,10612.4261,10698.21952,10952.71146,11263.53192,,,
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,870.6237296,920.471571,956.2776728,986.1761424,1004.182495,1024.203812,1073.011152,1084.730587,1207.786268,1234.367688,1188.997905,1200.352335,1250.936267,1292.808533,1281.558396,1323.546588,1407.435813,1446.524678,1315.632828,1299.552068,1342.926737,1405.104378,1490.725095,1569.674735,1641.043156,1719.665354,1838.897611,1957.585194,2023.735603,2078.28644,2109.496044,2003.437904,2167.719816,2279.29182,2392.893914,2357.952915,2438.089914,2752.090769,2708.936431,2847.256842,2901.273521,2974.695973,2943.869788,3052.381937,,,
Armenia,ARM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2722.597731,2689.678999,1962.640982,1195.029107,1045.479739,1050.245824,1219.929834,1509.055289,1308.592318,1307.535698,1297.568273,1269.235623,1236.36366,1320.495751,1440.372831,1521.504841,1639.682271,1772.894892,1669.062175,1661.021455,1726.264557,1807.634701,1893.528,1933.983962,1965.783733,,,
American Samoa,ASM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
