Capacity,Unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Capacity_5yrGrowth_Precent
Afghanistan,Million Kw,0.374,0.427,0.427,0.45,0.45,0.47,0.47,0.489,0.489,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.492,0.492,0.492,0.497,0.407,0.498,0.491,0.489,0.489,0.524,0.514,0.514,0.52107,0.59407,0.59417,0.57117,0.5871,0.6011,0.6161,0.6171,0.6341,3.71
Albania,Million Kw,0.595,0.62,0.64,0.69,0.71,0.735,0.76,0.767,0.777,0.777,1.892,1.892,1.892,1.892,1.892,1.669,1.684,1.684,1.684,1.684,1.684,1.6691,1.6692,1.7792,1.6692,1.5922,1.5922,1.5922,1.5732,1.4502,1.4614,1.509,1.726,1.88,1.824,1.897,2.109,25.78
Algeria,Million Kw,2.306,2.809,3.187,3.436,3.546,3.736,3.836,3.936,4.656,4.657,4.657,5.369,5.369,5.814,6.007,6.007,6.039,6.04,6.044,6.044,6.398,6.4,6.835,6.845,7.251,7.499,7.899,8.134,8.134,11.327,11.3271,11.4471,13.0231,15.027,15.881,17.119,19.271,40.2
American Samoa,Million Kw,0.03,0.032,0.029,0.025,0.025,0.031,0.031,0.031,0.033,0.033,0.033,0.033,0.033,0.033,0.035,0.035,0.035,0.035,0.035,0.035,0.05,0.058,0.058,0.058,0.06,0.045,0.045,0.045,0.045,0.045,0.045,0.041,0.041,0.041,0.041,0.042,0.043,-8.89
Angola,Million Kw,0.6,0.6,0.6,0.6,0.6,0.6,0.605,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.708,0.596,0.596,0.596,0.586,0.586,0.635,0.665,0.665,0.8306,0.8306,0.8432,1.446,1.462,1.462,1.469,1.583,1.656,1.718,1.785,2.106,2.613,22.09
Antarctica,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.001,0.001,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,60
Antigua and Barbuda,Million Kw,0.024,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.027,0.027,0.027,0.055,0.055,0.055,0.055,0.055,0.0551,0.0843,0.0844,0.1204,0.123,0.123,0.124,123.64
Argentina,Million Kw,12.909,13.445,14.163,15.208,15.975,16.172,16.51,16.517,16.972,17.095,17.112,17.391,17.243,18.115,19.199,20.168,20.5216,21.708,23.166,23.423,26.41815,28.028,28.237,28.973,28.673,28.747,28.799,29.579,31.474,32.563,33.361,33.502,35.5879,35.726,36.286,38.13,38.352,11.43
Armenia,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,2.812,2.768,2.768,2.768,3.018,3.018,3.018,3.018,3.341,3.297,3.3414,3.3204,3.1744,3.1775,3.20564,3.14864,3.16214,3.17314,3.47164,3.4756,4.022,4.0614,4.0664,4.0674,4.0804,28.15
Aruba,Million Kw,--,--,--,--,--,--,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.114,0.114,0.114,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.236,0.266,0.32,0.32,0.321,0.29,0.295,0.296,0.296,10.9
Australia,Million Kw,24.142,25.938,28.016,28.635,31.23,32.695,33.349,34.593,34.939,35.165,38.119,37.684,38.394,39.518,41.141,41.789,42.472,43.148,44.335,45.539,46.204,47.003,49.728,50.99,51.173,50.818,51.329,54.114,55.026,57.7321,61.2871,63.0331,64.8401,65.3641,67.2331,67.0291,65.5591,16.46
Austria,Million Kw,12.93,13.888,14.243,14.465,14.799,15.101,15.643,16.421,15.749,15.781,14.114,14.229,14.687,14.617,14.783,14.676,14.677,14.994,14.681,14.8,17.897,18.319,18.053,18.367,18.946,18.898,19.127,19.1,20.548,20.79,21.187,22.556,22.917,23.591,24.048,24.443,24.789,15.67
Azerbaijan,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,5.165,5.165,5.183,5.239,5.151,4.6,4.59,4.67,4.9425,5.1805,5.341,5.695,5.715,5.212,5.624,5.7302,5.8002,6.3902,6.3983,6.354,6.463,7.391,7.393,7.843,7.876,15.69
"Bahamas, The",Million Kw,0.307,0.361,0.406,0.406,0.406,0.406,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.455,0.493,0.493,0.493,0.493,0.493,0.4933,0.5914,0.592,0.592,0.577,0.577,0.577,17.04
Bahrain,Million Kw,0.588,0.588,0.738,1.047,1.062,1.082,1.082,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.08,1.1,1.1,1.1,1.163,1.349,1.379,2.506,2.629,1.849,2.319,2.767,2.777,2.77783,3.16883,3.16883,3.16883,3.935,3.935,3.94,3.928,3.928,24.34
