Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.26899719,73.69300079,78.23300171,81.65899658,78.69499969,78.9280014,79.20400238,79.30000305,79.29100037,79.16300201,78.89800262,74.50700378,73.73600006,71.6989975,71.75900269,70.60500336,69.3789978,67.2460022,67.03700256,64.49900055,62.77099991,61.68299866,61.51300049,61.63000107,61.13199997,61.34899902,62.19499969,61.99000168
Angola,AGO,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.26599884,37.19300079,42.46099854,41.86700058,41.96900177,40.46099854,39.66799927,37.19400024,38.80599976,37.47800064,36.27799988,37.93099976,37.27000046,36.16600037,37.4980011,38.48099899,38.62799835,39.99499893,42.47100067,47.23400116,51.2179985,50.75,49.2840004,48.88199997,48.89599991,49.1590004,50.60400009,50.40299988
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8809967,71.44100189,72.0490036,71.00900269,70.25499725,66.65000153,64.60900116,65.23899841,63.45500183,61.50600052,59.99300003,58.63100052,57.52700043,55.88499832,53.96300125,52.31600189,47.9129982,47.22499847,44.04999924,43.90100098,45.39300156,47.43500137,44.8030014,42.88999939,41.36600113,40.6590004,40.27500153,38.88999939
Andorra,AND,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.07217996,34.83963327,33.57735324,33.25644561,33.29006165,32.53247353,31.95928475,31.12221296,30.96751641,30.92358484,30.08786137,29.47681311,29.78272536,29.18121862,28.61322317,28.37406663,26.75242931,26.39496045,25.315786,24.55290682,24.61810677,23.81069744,23.73535319,23.9015244,23.78743149,23.62204577,23.92010969,23.97117285
United Arab Emirates,ARE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.453000069,7.703000069,8.083999634,7.941999912,7.999000072,7.383999825,6.690000057,6.315000057,6.272999763,5.961999893,5.631000042,5.414000034,5.065999985,4.811999798,4.938000202,4.640999794,4.507999897,4.258999825,1.220999956,0.763000011,0.541999996,0.405000001,0.301999986,0.240999997,0.197999999,0.165999994,0.351999998,0.344000012
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342999995,0.398999989,0.456,0.455000013,0.625,0.765999973,0.791000009,0.764999986,0.746999979,0.672999978,0.833000004,0.980000019,1.396000028,1.496000051,1.279000044,1.050999999,0.927999973,1.195000052,1.230999947,1.273000002,0.635999978,0.615999997,0.619000018,0.549000025,0.518000007,0.551999986,0.541999996,0.527999997
Armenia,ARM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.65800095,41.25699997,51.11199951,51.37099838,51.6780014,49.55099869,47.24300003,49.62599945,47.5019989,47.19400024,47.65800095,46.61999893,44.2159996,42.91999817,40.6230011,38.61700058,36.53300095,37.40399933,39.45399857,38.59600067,38.92200089,37.27600098,36.27199936,34.82600021,35.32899857,34.05099869,34.34700012,33.24100113
American Samoa,ASM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
