CountryID,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4,Afghanistan,964,936,762,765,787,818,846,789,837,811,784,813,850,917,961,985,"1,030",932,852,776,723,607,573,398,289,410,373,343,319,295,269,243,383,395,386,409,432,488,487,556,558,588,631,650,649,619,624
8,Albania,"1,688","1,715","1,743","1,772","1,801","1,833","1,866","1,896","1,936","1,971","1,993","2,066","2,086","2,069","2,002","1,992","2,053","1,984","1,909","2,061","1,840","1,327","1,245","1,386","1,524","1,746","1,914","1,706","1,850","2,081","2,221","2,405","2,516","2,662","2,821","2,995","3,198","3,423","3,719","3,882","4,056","4,179","4,248","4,292","4,365","4,459","4,604"
12,Algeria,"2,740","2,411","2,867","2,910","2,938","3,023","3,120","3,317","3,550","3,704","3,622","3,617","3,730","3,811","3,902","3,926","3,827","3,693","3,556","3,614","3,551","3,424","3,405","3,261","3,166","3,225","3,299","3,282","3,398","3,458","3,541","3,601","3,754","3,974","4,091","4,273","4,282","4,360","4,393","4,387","4,463","4,505","4,566","4,599","4,679","4,760","4,828"
20,Andorra,"43,119","42,859","44,054","45,231","45,688","44,163","44,083","43,960","43,326","41,998","41,439","39,803","38,636","37,633","36,655","35,913","35,554","36,025","36,375","36,666","36,614","36,114","35,077","33,529","33,394","33,684","34,971","38,162","39,495","40,968","40,799","41,418","42,394","45,517","47,030","48,829","49,705","48,708","43,898","41,977","39,734","38,203","38,188","39,102","40,783","41,763","42,679"
24,Angola,"3,556","3,687","3,607","3,801","3,816","3,527","3,251","3,184","2,927","2,846","2,820","2,604","2,513","2,526","2,587","2,594","2,600","2,709","2,786","2,723","2,634","2,579","2,351","1,729","1,697","1,893","2,089","2,180","2,221","2,206","2,206","2,203","2,438","2,424","2,595","2,880","3,100","3,410","3,658","3,548","3,586","3,580","3,750","3,799","3,819","3,725","3,578"
660,Anguilla,"5,435","5,260","5,821","6,014","5,965","6,139","6,205","6,191","6,631","7,257","7,623","7,969","7,954","8,020","8,360","9,279","10,138","10,717","11,765","12,139","14,560","11,459","14,231","14,817","15,549","14,777","14,762","15,951","17,187","17,416","17,197","17,144","16,040","16,483","18,326","20,243","23,848","26,521","25,725","20,672","19,459","19,990","18,484","18,153","18,852","19,246","19,263"
28,Antigua and Barbuda,"3,921","4,147","4,390","4,703","4,807","4,497","4,056","4,316","4,441","4,906","5,241","5,528","5,597","6,048","6,583","7,189","7,904","8,715","9,485","10,048","10,340","10,469","10,417","10,730","11,162","10,400","10,792","11,073","11,291","11,426","11,935","11,147","11,103","11,638","12,171","12,807","14,171","15,406","15,219","13,219","12,127","11,743","12,022","11,881","12,355","12,722","13,263"
32,Argentina,"7,316","7,469","7,496","7,644","7,922","7,747","7,626","7,992","7,621","8,036","8,031","7,479","7,130","7,307","7,338","6,722","7,093","7,164","6,920","6,342","6,168","6,720","7,311","7,664","8,006","7,682","8,009","8,558","8,788","8,396","8,238","7,788","6,863","7,387","7,967","8,580","9,174","9,897","10,193","9,492","10,346","10,853","10,629","10,771","10,393","10,561","10,217"
51,Armenia,,,,,,,,,,,,,,,,,,,,,"1,884","1,679",996,930,"1,003","1,094","1,176","1,229","1,330","1,382","1,472","1,623","1,878","2,153","2,392","2,741","3,127","3,588","3,870","3,345","3,432","3,594","3,843","3,952","4,078","4,195","4,191"
533,Aruba,"4,046","4,385","4,752","5,149","5,591","6,086","6,647","7,277","7,973","8,716","9,490","10,272","11,063","11,902","12,853","13,979","15,342","18,043","21,672","24,319","24,828","25,779","25,851","26,106","26,703","26,137","25,548","26,819","28,008","27,781","28,445","26,993","25,530","25,498","27,036","27,010","27,078","27,523","27,524","24,383","23,513","24,255","23,800","24,653","24,716","24,476","24,312"
36,Australia,"29,143","29,724","30,009","30,799","30,809","31,220","31,969","31,897","32,826","33,445","34,153","34,836","33,600","34,658","35,936","36,832","37,176","38,673","39,512","40,262","39,524","39,167","40,259","41,413","42,554","43,759","45,002","46,501","48,313","49,652","50,075","51,457","52,473","54,033","55,061","55,887","57,039","58,095","58,051","58,135","58,490","59,645","60,261","60,955","61,570","62,409","62,783"
40,Austria,"19,471","20,375","21,552","22,528","23,357","23,238","24,292","25,540","25,515","26,917","27,412","27,391","27,951","28,778","28,777","29,467","30,104","30,456","31,380","32,482","33,730","34,672","35,135","35,046","35,639","36,393","37,137","37,885","39,194","40,550","41,822","42,237","42,743","42,848","43,788","44,526","45,845","47,351","47,930","45,935","46,599","47,625","47,655","47,379","47,378","47,584","48,103"
31,Azerbaijan,,,,,,,,,,,,,,,,,,,,,"3,137","3,066","2,337","1,771","1,404","1,224","1,226","1,286","1,403","1,495","1,646","1,793","1,943","2,120","2,292","2,902","3,861","4,792","5,241","5,666","5,857","5,691","5,736","5,995","6,077","6,044","5,829"
