CountryID,Country,GDPP_2010,GDPP_2011,GDPP_2012,GDPP_2013,GDPP_2014,GDPP_2015,GDPP_2016
4,Afghanistan,558.00,588.00,631.00,650.00,649.00,619.00,624.00
8,Albania,4056.00,4179.00,4248.00,4292.00,4365.00,4459.00,4604.00
12,Algeria,4463.00,4505.00,4566.00,4599.00,4679.00,4760.00,4828.00
20,Andorra,39734.00,38203.00,38188.00,39102.00,40783.00,41763.00,42679.00
24,Angola,3586.00,3580.00,3750.00,3799.00,3819.00,3725.00,3578.00
660,Anguilla,19459.00,19990.00,18484.00,18153.00,18852.00,19246.00,19263.00
28,Antigua and Barbuda,12127.00,11743.00,12022.00,11881.00,12355.00,12722.00,13263.00
32,Argentina,10346.00,10853.00,10629.00,10771.00,10393.00,10561.00,10217.00
51,Armenia,3432.00,3594.00,3843.00,3952.00,4078.00,4195.00,4191.00
533,Aruba,23513.00,24255.00,23800.00,24653.00,24716.00,24476.00,24312.00
36,Australia,58490.00,59645.00,60261.00,60955.00,61570.00,62409.00,62783.00
40,Austria,46599.00,47625.00,47655.00,47379.00,47378.00,47584.00,48103.00
31,Azerbaijan,5857.00,5691.00,5736.00,5995.00,6077.00,6044.00,5829.00
44,Bahamas,27979.00,27710.00,28145.00,27600.00,26905.00,25764.00,25517.00
48,Bahrain,20722.00,20515.00,20920.00,21799.00,22390.00,22436.00,22299.00
50,Bangladesh,753.00,792.00,834.00,874.00,916.00,965.00,1023.00
52,Barbados,15613.00,15680.00,15672.00,15605.00,15572.00,15666.00,15889.00
112,Belarus,6042.00,6380.00,6489.00,6546.00,6656.00,6400.00,6235.00
56,Belgium,44205.00,44696.00,44516.00,44334.00,44662.00,45013.00,45390.00
84,Belize,4344.00,4333.00,4399.00,4335.00,4416.00,4447.00,4328.00
204,Benin,758.00,759.00,772.00,802.00,831.00,849.00,867.00
60,Bermuda,91552.00,88017.00,85003.00,83858.00,84151.00,85179.00,85539.00
64,Bhutan,2179.00,2310.00,2387.00,2400.00,2500.00,2628.00,2801.00
68,Bolivia (Plurinational State of),1981.00,2051.00,2122.00,2231.00,2317.00,2393.00,2458.00
70,Bosnia and Herzegovina,4615.00,4701.00,4714.00,4883.00,4993.00,5190.00,5386.00
72,Botswana,6346.00,6610.00,6779.00,7409.00,7574.00,7309.00,7483.00
76,Brazil,11224.00,11559.00,11671.00,11912.00,11866.00,11322.00,10826.00
92,British Virgin Islands,32183.00,31187.00,29136.00,30130.00,29964.00,29520.00,29091.00
96,Brunei Darussalam,35267.00,36091.00,35898.00,34619.00,33259.00,32662.00,31431.00
100,Bulgaria,6835.00,7012.00,7058.00,7162.00,7301.00,7613.00,7964.00
854,Burkina Faso,575.00,595.00,615.00,632.00,640.00,645.00,664.00
108,Burundi,232.00,234.00,237.00,241.00,244.00,236.00,233.00
132,Cabo Verde,3313.00,3406.00,3403.00,3390.00,3370.00,3362.00,3448.00
116,Cambodia,786.00,828.00,874.00,924.00,973.00,1025.00,1078.00
120,Cameroon,1309.00,1327.00,1350.00,1385.00,1428.00,1470.00,1495.00
124,Canada,47221.00,48182.00,48515.00,49215.00,49982.00,49969.00,50227.00
136,Cayman Islands,58859.00,58419.00,58167.00,58055.00,58754.00,59530.00,59796.00
140,Central African Republic,457.00,464.00,476.00,300.00,302.00,315.00,326.00
148,Chad,824.00,847.00,922.00,839.00,840.00,849.00,795.00
152,Chile,12860.00,13519.00,14109.00,14551.00,14702.00,14907.00,15020.00
156,China,4461.00,4858.00,5212.00,5588.00,5964.00,6344.00,6773.00
344,"Hong Kong SAR, China",32545.00,33916.00,34296.00,35151.00,35891.00,36491.00,36946.00
446,"China, Macao SAR",52375.00,62279.00,66449.00,72183.00,69749.00,53580.00,52144.00
170,Colombia,6251.00,6592.00,6790.00,7051.00,7292.00,7446.00,7526.00
174,Comoros,1549.00,1586.00,1596.00,1708.00,1724.00,1681.00,1679.00
178,Congo,2800.00,2814.00,2845.00,2866.00,2986.00,2989.00,2859.00
184,Cook Islands,13758.00,14113.00,14988.00,14968.00,16051.00,16791.00,17487.00
188,Costa Rica,8199.00,8450.00,8753.00,8852.00,9077.00,9407.00,9714.00
384,Côte d'Ivoire,1220.00,1141.00,1225.00,1306.00,1385.00,1474.00,1563.00
191,Croatia,13823.00,13825.00,13568.00,13539.00,13591.00,13980.00,14473.00
192,Cuba,5676.00,5824.00,5985.00,6133.00,6183.00,6445.00,6381.00
531,Curaçao,19994.00,19718.00,19383.00,18992.00,18582.00,18457.00,18122.00
196,Cyprus,30817.00,30137.00,28773.00,27129.00,27044.00,27758.00,28556.00
203,Czech Republic,19648.00,19980.00,19787.00,19677.00,20203.00,21265.00,21802.00
200,Czechoslovakia (Former),NA,NA,NA,NA,NA,NA,NA
408,"Korea, Dem. People’s Rep.",570.00,571.00,576.00,579.00,582.00,572.00,592.00
180,D.R. of the Congo,334.00,345.00,358.00,375.00,398.00,411.00,408.00
208,Denmark,57967.00,58447.00,58289.00,58549.00,59223.00,59913.00,60842.00
262,Djibouti,1254.00,1288.00,1326.00,1368.00,1426.00,1493.00,1562.00
212,Dominica,6912.00,6898.00,6793.00,6719.00,6980.00,6766.00,6909.00
