HDI Rank (2017),Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
168,Afghanistan,,,,,,,,,,,,,0.37,0.38,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.49,0.49,0.49,0.5
68,Albania,0.65,0.63,0.61,0.61,0.62,0.63,0.64,0.64,0.65,0.66,0.67,0.68,0.68,0.69,0.69,0.7,0.71,0.72,0.72,0.73,0.74,0.75,0.77,0.77,0.77,0.78,0.78,0.79
85,Algeria,0.58,0.58,0.59,0.59,0.6,0.6,0.61,0.62,0.63,0.64,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.71,0.72,0.73,0.74,0.74,0.75,0.75,0.75,0.75,0.75
35,Andorra,,,,,,,,,,,0.76,0.77,0.78,0.82,0.83,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.85,0.85,0.85,0.85,0.86,0.86
147,Angola,,,,,,,,,,0.37,0.39,0.4,0.42,0.43,0.44,0.46,0.47,0.49,0.5,0.52,0.52,0.54,0.54,0.55,0.56,0.57,0.58,0.58
70,Antigua and Barbuda,,,,,,,,,,,,,,,,0.77,0.77,0.78,0.78,0.77,0.77,0.76,0.77,0.77,0.77,0.78,0.78,0.78
47,Argentina,0.7,0.71,0.72,0.73,0.73,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.77,0.78,0.78,0.78,0.79,0.79,0.8,0.8,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.83
83,Armenia,0.63,0.63,0.58,0.59,0.6,0.61,0.61,0.62,0.64,0.64,0.65,0.65,0.66,0.67,0.68,0.69,0.71,0.72,0.73,0.72,0.73,0.73,0.74,0.74,0.75,0.75,0.75,0.76
3,Australia,0.87,0.87,0.87,0.87,0.88,0.88,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.94,0.94,0.94
20,Austria,0.8,0.8,0.81,0.81,0.81,0.82,0.82,0.82,0.84,0.83,0.84,0.85,0.84,0.84,0.85,0.86,0.86,0.88,0.88,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.91,0.91
80,Azerbaijan,,,,,,0.61,0.61,0.62,0.63,0.63,0.64,0.65,0.66,0.67,0.67,0.68,0.7,0.71,0.72,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.76,0.76
54,Bahamas,,,,,,,,,,,0.78,0.78,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.81,0.81,0.81,0.81,0.81,0.81
43,Bahrain,0.75,0.75,0.76,0.77,0.77,0.78,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.8,0.79,0.8,0.8,0.8,0.81,0.81,0.83,0.85,0.85
136,Bangladesh,0.39,0.39,0.4,0.41,0.42,0.43,0.43,0.44,0.45,0.46,0.47,0.48,0.48,0.49,0.5,0.51,0.51,0.52,0.52,0.54,0.55,0.56,0.57,0.58,0.58,0.59,0.6,0.61
58,Barbados,0.72,0.72,0.72,0.72,0.73,0.73,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.76,0.76,0.77,0.77,0.78,0.78,0.78,0.78,0.79,0.8,0.8,0.8,0.8,0.8,0.8
53,Belarus,,,,,,0.66,0.66,0.67,0.67,0.68,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.76,0.77,0.78,0.79,0.8,0.8,0.8,0.81,0.81,0.81,0.81
17,Belgium,0.81,0.81,0.83,0.84,0.85,0.85,0.86,0.86,0.87,0.87,0.87,0.88,0.88,0.88,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.92,0.92
