Electricity,Billion Kwh,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0.0001,0.0001,0.0001,0,0,0,0,0
Albania,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.019,0.029
American Samoa,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.0005,0.0005,0.0005,0.001,0.001
Antigua and Barbuda,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.01,0.015,0.033,0.035,0.035,0.049,0.073,0.078,0.072,0.075,0.07,0.061,0.042,0.036,0.025,0.026,0.369,0.461,0.619,0.6,0.554
Armenia,Billion Kwh,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.004,0.003,0.002
Aruba,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.106,0.113,0.135,0.151,0.153,0.166,0.13
Australia,Billion Kwh,0,0,0,0,0,0,0,0,0.004,0.007,0.007,0.007,0.008,0.028,0.058,0.21,0.364,0.703,0.705,0.885,1.713,2.611,3.093,3.806,5.052,6.085,6.97,7.96,10.252,11.467,12.199
Austria,Billion Kwh,0,0,0,0,0,0,0,0,0,0.001,0.005,0.02,0.045,0.051,0.067,0.105,0.14,0.372,0.934,1.331,1.752,2.037,2.011,1.968,1.977,1.844,2.358,3.014,3.66,4.59,4.953
