IAM Country Name,OnshoreC3C9_GW,OhshoreC3C9_PWH,OnshoreTotal_PWH
Afghanistan,310.07,0.8379643,1015.5685
Albania,55.85,0.11954352,73.209
Algeria,693.97,1.434716284,2162.65675
Angola,0,0,419.86725
Argentina,1112.71,2.600920082,2258.19525
Armenia,0.69,0.001436354,72.98725
Australia,1538.77,3.508497986,1768.62125
Austria,88.59,0.177954455,162.59275
Azerbaijan,9.53,0.021267072,256.44825
Bahamas,0,0,2.92275
Bahrain,0,0,0.207
Bangladesh,0,0,135.81225
Barbados,1.12,0.003489361,1.11975
Belarus,418.98,0.93447382,418.98475
Belgium,71.59,0.179338035,71.5855
Belize,0,0,5.65
Benin,9.97,0.019986303,216.65275
Bhutan,0,0,13.23
Bolivia,50.06,0.111827302,165.79
Bosnia and Herzegovina,33.19,0.070931872,123.5365
Botswana,31.09,0.062902462,169.7235
Brazil,1589.01,3.807761489,7631.8475
Brunei Darussalam,0,0,4.7505
Bulgaria,20.17,0.040533681,280.5395
Burkina Faso,0,0,438.789
Burundi,0,0,63.471
Cambodia,34.19,0.073541483,201.2625
Cameroon,87.81,0.182963665,421.8585
Canada,1664.68,3.953326653,1896.3815
Cape Verde,0.83,0.002074696,0.8345
Central African Republic,0,0,116.24075
Chad,42.57,0.084749787,401.43425
Chile,123.08,0.310337284,850.84275
China,3736.05,8.343293546,13138.138
"Hong Kong SAR, China",0.56,0.00111551,0.5595
China Macao SAR,0,0,0
Colombia,60.9,0.155335684,786.005
Comoros,0,0,0
Congo,8.14,0.016443108,953.22775
Costa Rica,35.88,0.09083198,99.426
Cote d'Ivoire,0,0,497.4345
Croatia,34.32,0.074391999,134.561
Cuba,88.16,0.182958957,256.93775
Cyprus,0,0,19.361
Czech Republic,167.48,0.351544942,175.0025
Democratic People's Republic of Korea,110.69,0.247601863,264.74275
Democratic Republic of the Congo,0,0,105.0165
Denmark,106.29,0.319483039,106.2925
Djibouti,28.58,0.060198763,45.2115
Dominican Republic,47.98,0.098523543,108.211
East Timor,20.39,0.043099225,28.8545
Ecuador,17.02,0.036753444,228.3575
Egypt,426.22,0.916365029,905.995
El Salvador,54.73,0.132663086,61.09525
Equatorial Guinea,0,0,6.666
Eritrea,251.94,0.623774437,275.0085
Estonia,48.73,0.121573368,48.725
Ethiopia,311.8,0.71700687,1404.78475
Fiji,8.12,0.016336195,30.0565
Finland,257.86,0.579417735,257.857
France,1083.14,2.478879839,1340.183
French Polynesia,0,0,0
Gabon,0,0,71.94475
Gambia,0,0,18.70725
Georgia,3.92,0.007619052,134.85075
Germany,436.86,1.064539133,569.738
Ghana,0,0,423.37625
Greece,92.52,0.204054588,252.968
Guam,0,0,0
Guatemala,44.71,0.122079783,123.226
Guinea,0,0,216.36625
Guinea-Bissau,0,0,42.42325
Guyana,0,0,7.6755
Haiti,14.29,0.029082753,84.251
Honduras,66.89,0.172950558,170.53525
Hungary,0.17,0.000335241,303.68475
Iceland,169.69,0.599881512,169.6925
India,1498.61,3.308169716,5656.7665
Indonesia,29.22,0.062674915,1977.0735
Iran (Islamic Republic of),1199.45,2.595139718,4831.698
Iraq,155.62,0.320186563,1313.26875
Ireland,218.61,0.698388852,218.61275
Israel,0,0,73.50325
Italy,33.67,0.069275987,699.96
Jamaica,18.3,0.039169711,21.85975
Japan,315.8,0.7115794,458.318
Jordan,1.86,0.003770713,230.64375
Kazakhstan,1578.77,3.619277959,2094.1495
Kenya,360.28,0.919048354,693.1955
Kuwait,10.32,0.020430566,73.591
