Country Name,Country Code,Indicator Name,Indicator Code,Out_2006,Out_2007,Out_2008,Out_2009,Out_2010,Out_2011,Out_2012,Out_2013,Out_2014,Out_2015,Out_2016,Out_2017,Out_2018
Aruba,ABW,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Afghanistan,AFG,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,6.5,,,,,,9.6,,,,
Angola,AGO,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,3.7,,,,12.6,,,,,,,,
Albania,ALB,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,13.7,,,,,,5.4,,,,,
Andorra,AND,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Arab World,ARB,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,5.690909091,
United Arab Emirates,ARE,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Argentina,ARG,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,1.4,,,,3.5,,,,,,,0.8,
Armenia,ARM,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,1.8,,,,0.2,,,,,
American Samoa,ASM,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,0.2,,,,,,,,
Australia,AUS,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Austria,AUT,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Azerbaijan,AZE,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,1.8,,,,1,,,,,
Burundi,BDI,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,10.7,,,,,,,,3.4,,,,
Belgium,BEL,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Benin,BEN,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,6.2,,,,,,,9.4,,
Burkina Faso,BFA,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,5.8,,,,,,,,,
Bangladesh,BGD,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,10.6,,,,,,5.5,,,,,
Bulgaria,BGR,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,1.2,,1.6,,,,0.9,,,,,
Bahrain,BHR,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
"Bahamas, The",BHS,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,1.5,,,,,,,,
Bosnia and Herzegovina,BIH,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,1.9,,,,1,,,,,
Belarus,BLR,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,0.7,,,,,0.3,,,,,
Belize,BLZ,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,0.1,,,,,,,,
Bermuda,BMU,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Bolivia,BOL,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,4.4,,,,2.5,,,,,,,0.9,
Brazil,BRA,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,3.4,,,,,,,,,
Barbados,BRB,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,0.2,,,,,,,,
Brunei Darussalam,BRN,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Bhutan,BTN,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,4.3,,,,,,3.7,,,
Botswana,BWA,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,1.4,,,,3.7,,,,,,,,
Central African Republic,CAF,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,25.1,,,,,,,
Canada,CAN,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,0.872727273,
Switzerland,CHE,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Channel Islands,CHI,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Chile,CHL,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,1.8,,,,1.3,,,,,,,,
China,CHN,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,1.3,,,,,,
Cote d'Ivoire,CIV,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,5,,,,,,,4.9,,
Cameroon,CMR,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,4.9,,,,,,,9.9,,
"Congo, Dem. Rep.",COD,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,5.6,,,,22.7,,,7.8,,,,,
"Congo, Rep.",COG,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,16.4,,,,,,,,,
Colombia,COL,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,2.3,,,,1.8,,,,,,,1.9,
Comoros,COM,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Cabo Verde,CPV,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,5.5,,,,,,,,,
Costa Rica,CRI,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,1.7,,,,,,,,
Caribbean small states,CSS,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,0.769230769,
Cuba,CUB,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Curacao,CUW,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Cayman Islands,CYM,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Cyprus,CYP,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Czech Republic,CZE,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,0.6,,,,1,,,,,
Germany,DEU,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Djibouti,DJI,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,4.6,,,,,
Dominica,DMA,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,0.1,,,,,,,,
Denmark,DNK,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Dominican Republic,DOM,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,4.4,,,,,,3.1,,
Algeria,DZA,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,3.176923077,
Early-demographic dividend,EAR,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,5.077777778,
East Asia & Pacific,EAS,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,3.176923077,
Europe & Central Asia (excluding high income),ECA,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,2.885,
Europe & Central Asia,ECS,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,2.244827586,
Ecuador,ECU,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,2.7,,,,3.9,,,,,,,1.1,
"Egypt, Arab Rep.",EGY,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,7.7,,,4.3,,
Euro area,EMU,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,0.28,
Eritrea,ERI,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,0.2,,,,,,,,,
Spain,ESP,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,
Estonia,EST,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,0.5,,,,0.1,,,,,
Ethiopia,ETH,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,4.3,,,,6.9,,,
European Union,EUU,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,0.872727273,
Fragile and conflict affected situations,FCS,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,8.473913043,
