,Country,harmony,embedded,hierarchy,mastery,aff auton,intel auton,egalitar
arg,Argentina,3.98,3.52,2.1,3.92,3.73,4.34,4.96
aul,Australia,3.99,3.59,2.29,3.97,3.86,4.35,4.79
aut,Austria,4.31,3.11,1.75,3.92,4.29,4.9,4.89
beg,Belgium,4.35,3.25,1.69,3.84,3.94,4.64,5.2
bol,Bolivia,4.11,4.07,2.66,3.87,2.71,4.34,4.74
bos,Bosniaherz,3.88,4.01,1.73,3.79,3.3,4.18,4.66
bra,Brazil,4.03,3.62,2.37,3.93,3.52,4.27,4.89
bul,Bulgaria,4.13,3.87,2.68,4.02,3.47,4.29,4.13
cam,Cameroon,4.19,4.46,2.46,3.6,2.13,3.58,4.68
canE,Canada (Eng),3.83,3.46,2.09,4.12,4,4.5,4.8
canF,Canada (Fr),4.14,3.15,1.87,3.95,4.31,4.81,4.98
chl,Chile,4.33,3.64,2.25,3.78,3.03,4.32,5.06
chn,China,3.78,3.74,3.49,4.41,3.3,4.18,4.23
col,Colombia,3.66,3.86,2.9,4.03,3.61,4.3,4.69
cosr,Costa Rica,4.13,3.49,2.29,4.01,3.49,4.37,4.85
cro,Croatia,4.02,4,2.55,4.05,3.92,4.35,4.6
cyp,Cyprus,4.01,4.04,1.96,3.95,3.21,3.83,4.85
cze,Czech Rep,4.27,3.59,2.22,3.75,3.49,4.62,4.45
den,Denmark,4.16,3.19,1.86,3.91,4.3,4.77,5.03
egy,Egypt,3.98,4.45,2.2,3.66,2.5,3.9,4.42
est,Estonia,4.31,3.81,2.04,3.79,3.36,4.23,4.58
eth,Ethiopia,4.19,4.54,2.33,3.79,2.61,3.94,4.4
fij,Fiji,3.83,4.33,2.58,3.77,3.2,3.85,4.67
fin,Finland,4.34,3.37,1.8,3.66,3.96,4.93,4.9
fra,France,4.21,3.2,2.21,3.72,4.39,5.13,5.05
geo,Georgia,4.09,4.12,2.46,3.73,3.47,4,4.66
gere,Germany e,4.46,3.16,1.77,4,4.28,4.68,4.95
gerw,Germany w,4.62,3.03,1.87,3.86,4.11,4.99,5.07
gha,Ghana,3.53,4.27,2.68,4.12,2.49,3.89,4.73
gre,Greece,4.4,3.41,1.83,4.25,3.92,4.39,4.84
hkng,"Hong Kong SAR, China",3.5,3.76,2.91,4.08,3.2,4.28,4.5
hun,Hungary,4.34,3.6,1.94,3.73,3.63,4.57,4.51
indi,India,3.92,3.97,3.05,4.28,3.48,4.02,4.45
indo,Indonesia,3.82,4.27,2.56,3.84,3.41,3.94,4.32
ira,Iran,3.69,4.18,3.23,3.91,2.97,3.96,4.53
ire,Ireland,3.77,3.41,2.09,4.04,4.05,4.54,4.9
islj,Israel jew,3.28,3.61,2.51,4.02,3.79,4.54,4.77
isla,Israel arab,3.57,4.09,2.6,4.1,3.37,4.28,4.6
ita,Italy,4.62,3.46,1.6,3.81,3.3,4.91,5.27
jap,Japan,4.21,3.49,2.65,4.06,3.76,4.78,4.36
jor,Jordan,3.67,4.2,2.5,4.2,3.36,4.05,4.4
kors,South Korea,3.57,3.68,2.9,4.21,3.46,4.22,4.42
lat,Latvia,4.46,3.83,1.8,3.75,3.48,4.22,4.32
mac,Macedonia,4.03,3.91,2.72,4,3.01,4.24,4.4
may,Malaysia,3.65,4.35,2.25,3.91,2.98,4.15,4.41
mex,Mexico,4.5,3.9,2.13,3.9,2.83,4.36,4.73
nam,Namibia,3.74,4.04,2.53,4.06,3.29,4.03,4.48
nep,Nepal,4.34,4.18,3.03,4.13,2.99,4.07,4.63
net,Netherlands,4.05,3.19,1.91,3.97,4.13,4.85,5.03
nwz,New Zealand,4.03,3.27,2.27,4.09,4.21,4.65,4.94
nig,Nigeria,3.75,4.41,2.72,3.9,2.54,3.66,4.79
nor,Norway,4.4,3.45,1.49,3.85,3.69,4.68,5.12
oma,Oman,3.71,4.5,2.15,3.83,2.87,3.73,4.49
pak,Pakistan,3.99,4.31,2.44,4,3.11,3.76,4.65
per,Peru,3.71,3.92,2.76,4.08,2.98,4.3,4.84
phi,Philippines,4.04,4.03,2.68,3.76,3,3.95,4.59
pol,Poland,3.86,3.86,2.51,3.84,3.32,4.31,4.48
por,Portugal,4.27,3.43,1.89,4.11,3.62,4.53,5.21
rom,Romania,4.11,3.78,2,4.06,3.45,4.61,4.48
rus,Russian Federation,3.9,3.81,2.72,3.96,3.51,4.3,4.38
sen,Senegal,3.58,4.45,2.63,3.74,2.39,3.89,4.92
ser,Serbia,3.96,3.57,1.61,4.03,3.7,4.72,4.44
