Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,,,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1401695228,1484017897,1717485413,2373927765,2916786690,3248215396,3536632794,4010990966,4001201113,3650083356,3346516556,3427022519,3146151869,3248924588,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,2461665938,4128820723,4583644246,5285465686,6275073572,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20046334304,20050189882,19331286549,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6688963211,6688963211,6688963211,6688963211,10033444816,10033444816,,,,6202000000,4879285714,7526963964,7649716157,6445427699,6152936539,9129634978,8936063723,12497346670,14188949191,19640848729,28233712831,41789478661,60448921272,84178032716,75492384801,82470913121,1.04116E+11,1.15398E+11,1.24912E+11,1.26777E+11,1.02627E+11,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242453,1965384586,2173750013,2156624900,2126000000,2335124988,2101624963,1139166646,709452583.9,1228071038,1985673798,2424499009,3314898291,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12781029644,13219857459,11398392444,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,25747855610,28420044954,31369837407,36408731720,43294440678,54990939284,1.05093E+11,1.16279E+11,1.44774E+11,1.67225E+11,1.83464E+11,2.48522E+11,3.38009E+11,3.48419E+11,3.24167E+11,3.03811E+11,3.07787E+11,3.03742E+11,2.88885E+11,3.12526E+11,3.0735E+11,3.22164E+11,4.45988E+11,4.38853E+11,4.70346E+11,4.75662E+11,4.86642E+11,5.22836E+11,5.77272E+11,6.12266E+11,5.90478E+11,6.43095E+11,7.33903E+11,7.22106E+11,7.27949E+11,8.2182E+11,9.63859E+11,1.18466E+12,1.4041E+12,1.63757E+12,2.07776E+12,1.79546E+12,2.10384E+12,2.4973E+12,2.73391E+12,2.83082E+12,2.88975E+12,2.56587E+12,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22106E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.86049E+11,3.48526E+11,3.73432E+11,3.88599E+11,4.01958E+11,3.70296E+11,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,16646599770,27786400318,47289600372,65193099976,48505749703,51169498444,56780999756,58082870734,69252330274,76961921891,78676840049,84307484568,1.03979E+11,79092000000,88416666667,1.10934E+11,1.11106E+11,1.26207E+11,76636898126,1.41352E+11,1.8972E+11,2.28789E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.99496E+11,2.33582E+11,2.88833E+11,3.63137E+11,3.3449E+11,4.25916E+11,5.332E+11,5.48935E+11,5.54155E+11,5.29726E+11,5.83169E+11,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10529182498,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,66144444.44,74855555.56,92240740.74,110066666.7,124462963,137951851.9,153270370.4,173511111.1,201862963,245896296.3,286474074.1,338696296.3,373403703.7,391570370.4,410388888.9,423762963,456537037,500088888.9,494185185.2,541074074.1,579851851.9,620037037,651851851.9,783837851.9,773765185.2,802529333.3,839996370.4,898356148.1,997374111.1,1135143593,1289254333,1347349852,1206410370,1135539037,1129918370,1204713111,1200587519,1220976000,1259259259,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18567588756,19639377310,19883525591,21497368126,23754059805,25925635569,27250531974,30378541830,32641953186,36606562885,41245380222,45119274275,51928738318,63688661115,88775239499,97081797078,1.04815E+11,1.10097E+11,1.18218E+11,1.34585E+11,1.49655E+11,1.76527E+11,1.93651E+11,1.76899E+11,1.93198E+11,1.80183E+11,1.81989E+11,1.89077E+11,2.35771E+11,2.9948E+11,3.10955E+11,3.25575E+11,3.25253E+11,3.11951E+11,3.22805E+11,3.67949E+11,4.01335E+11,4.35571E+11,3.99294E+11,3.88672E+11,4.14952E+11,3.78459E+11,3.94196E+11,4.66348E+11,6.12695E+11,6.93075E+11,7.46881E+11,8.53053E+11,1.05456E+12,9.26564E+11,1.14225E+12,1.38992E+12,1.53748E+12,1.56395E+12,1.45468E+12,1.33914E+12,
