Country,Country.Code,Religiosity,Neutrality,Fairness,Skepticism,Uncertainty.Tolerance
Algeria,12,26.40,16.29,-12.62,-1.68,-10.60
Argentina,32,-8.34,4.61,-2.80,2.29,6.45
Armenia,51,7.52,23.23,2.01,0.47,-14.95
Australia,36,-20.17,-2.39,0.19,-5.78,5.58
Azerbaijan,31,0.75,27.45,5.36,-10.22,-6.29
Belarus,112,-5.59,5.61,-5.33,-7.68,-1.97
Brazil,76,3.00,2.48,-1.59,-1.53,-4.89
Chile,152,-6.98,4.02,-1.63,-3.33,2.59
China,156,-22.84,19.78,-6.46,-22.69,-0.72
Colombia,170,7.33,0.55,-1.43,-1.95,-14.82
Cyprus,196,-0.22,5.77,2.04,-7.68,-0.55
Ecuador,218,5.95,10.79,-2.63,-3.03,-9.79
Estonia,233,-19.08,11.98,-2.55,-11.64,-0.39
Georgia,268,16.06,20.86,8.99,-2.07,-17.12
Germany,276,-16.98,2.77,0.51,-8.65,6.78
Ghana,288,22.05,-0.81,0.57,-18.23,-14.37
"Hong Kong SAR, China",344,-13.08,1.04,-7.84,-13.18,4.01
India,356,11.21,-1.58,-5.80,-18.10,-3.19
Iraq,368,23.05,16.64,-6.92,-0.62,-5.77
Japan,392,-17.40,8.52,6.97,-7.26,-9.81
Jordan,400,35.93,17.13,2.30,-5.13,0.73
Kazakhstan,398,-6.17,16.38,-6.52,-12.05,-6.39
Kyrgyz Republic,417,9.87,5.03,-6.03,-10.68,-9.87
Lebanon,422,6.05,2.51,-11.02,0.04,-5.76
Libya,434,33.91,9.93,-1.43,-0.47,-13.13
Malaysia,458,17.24,9.43,-6.42,-18.78,-18.98
Mexico,484,2.73,-0.57,-7.09,-1.00,-17.29
Morocco,504,26.57,19.72,0.77,-10.05,-1.84
Netherlands,528,-25.33,1.20,3.01,-4.40,12.52
New Zealand,554,-16.03,-4.50,1.04,-8.56,8.90
Nigeria,566,23.62,-4.35,-5.23,-9.51,-8.30
Pakistan,586,30.30,13.16,0.36,-3.07,-5.64
Peru,604,2.79,4.36,-5.32,5.35,-9.46
Philippines,608,12.30,-1.90,-16.80,-17.54,-11.24
Poland,616,0.46,9.71,-1.49,-1.37,1.60
Romania,642,6.81,13.56,5.39,2.32,-2.20
Russian Federation,643,-10.63,19.02,-7.59,-1.61,-4.07
Rwanda,646,3.85,-6.06,-5.77,-12.32,-20.60
Singapore,702,-1.28,5.17,-8.70,-19.02,2.96
Slovenia,705,-17.84,4.96,-0.13,4.09,5.51
South Africa,710,5.81,-7.40,-18.97,-7.62,-0.19
South Korea,410,-9.79,2.68,-2.79,-8.39,-3.02
Spain,724,-17.93,10.59,1.32,-1.14,-0.58
Sweden,752,-27.89,-2.80,-4.11,-11.15,13.13
Thailand,764,-0.55,0.95,-0.79,-12.72,-1.13
Trinidad and Tobago,780,12.35,-0.51,4.12,-3.53,2.77
Tunisia,788,26.04,23.66,-2.23,7.05,-25.13
Turkey,792,16.78,20.69,9.71,-10.09,-5.05
Ukraine,804,-5.00,16.86,-5.70,-0.04,-4.34
United States,840,-3.27,-2.99,-2.10,-3.71,2.39
Uruguay,858,-13.92,9.87,2.30,-5.95,1.76
Uzbekistan,860,0.94,17.83,-3.04,-36.66,3.86
"Yemen, Rep.",887,25.46,14.53,-1.91,7.00,-13.87
Zimbabwe,716,15.00,-1.72,-6.90,-12.10,-6.77
